Model,Vcruise,Vcruise_kmh
V 35B Bonanza ('80 & up=fuel std 74 gal),172.0,318.54400000000004
V 35 A Bonanza,177.0,327.80400000000003
V 35 TC Turbo Bonanza,195.0,361.14000000000004
V 35 Bonanza,177.0,327.80400000000003
S 35 Bonanza,178.0,329.656
"N,P 35 Bonanza",170.0,314.84000000000003
"K,M 35 Bonanza",170.0,314.84000000000003
J 35 Bonanza,174.0,322.248
H 35 Bonanza,165.0,305.58000000000004
"E,F,G 35 Bonanza (E=2,725 lb. gross, F=2,750 lb.)",160.0,296.32
"C, D 35 Bonanza",152.0,281.504
"A,B 35 Bonanza (A=185 hp)",148.0,274.096
35 Bonanza,150.0,277.8
G 33 Bonanza,168.0,311.136
F & E 33-C Bonanza (conventional tail),174.0,322.248
F33A ('80 & up fuel std 74 gal),172.0,318.54400000000004
E 33 A Bonanza (conventional tail),174.0,322.248
F & E Bonanza (conventional tail),161.0,298.172
C 33 A Debonair,174.0,322.248
C 33 Debonair,161.0,298.172
"A,B 33 Debonair",161.0,298.172
33 Debonair,161.0,298.172
"C-24R Sierra 200 (prior'78 svc. ceil=16,400)",137.0,253.72400000000002
B-24R Sierra 200,131.0,242.61200000000002
A-24R Sierra 200,141.0,261.132
Super III Musketeer (A-23-24),130.0,240.76000000000002
C 23 Sundowner (pre '76 fuel=52 gal) pre'82=less mph,116.0,214.83200000000002
Custom III Musketeer,120.0,222.24
"A 23, A23A Musketeer (A=2,400 lb gross)",120.0,222.24
23 Musketeer,111.0,205.572
B 19 Sport 150 (76' & prior fuel=52 gal),107.0,198.16400000000002
"A 23-19, Sport III, Musketeer",114.0,211.12800000000001
77 Skipper ('79-'80 height=7/11),97.0,179.644
"17-31 ATC Turbo, 300-Lyc. (prior '78=8 gal less)",187.0,346.324
"17-31A, (prior '78=8 gal less fuel + 6 mph less)",165.0,305.58000000000004
"17-31TC, Turbo Super Viking (Lycoming eng)",187.0,346.324
"17-30A, (1979 & up; 1993 & up + 5 mph; IO-550 +6 mph)",176.0,325.952
"17-30A, 300-Cont.('78=8 gal more fuel & +11 mph)",163.0,301.87600000000003
17-30-300 Viking (Continental eng),163.0,301.87600000000003
"14-19-3A,260 A,B,C",177.0,327.80400000000003
14-19-2 Cruisemaster,170.0,314.84000000000003
14-19 Cruisemaster,157.0,290.764
14-13 Cruiseair Sr.,130.0,240.76000000000002
Global 7500,566.9499999999999,1049.9913999999999
Global 6500,566.9499999999999,1049.9913999999999
Global 5500,566.9499999999999,1049.9913999999999
Global Express XRS,566.9499999999999,1049.9913999999999
60 (standard configuration),,
55C,,
Global 6000,566.9499999999999,1049.9913999999999
55C/ER,,
