Model,Vcruise,Vcruise_kmh
"M-20-E Chaparral (prior'74=18,800 ceiling)",160.0,296.32
M-20-G Statesman,147.0,272.244
M-20C Ranger ('77-'78),143.0,264.836
"M-20-C Ranger thru '76 (prior '74 = 17,500 service ceiling)",150.0,277.8
M-20-E Super 21 Chaparral,163.0,301.87600000000003
M-20-C Mark 21,158.0,292.61600000000004
M-20-B Mark 21,158.0,292.61600000000004
M-20-A Mark 20A,157.0,290.764
M-20-Mark 20,143.0,264.836
M-20-D Master,117.0,216.684
M-10 Cadet,96.0,177.792
A 2-A Cadet,108.0,200.01600000000002
M18 Mite,109.0,201.86800000000002
H-Rangemaster (1975-'76),166.0,307.432
"G,G-1 Rangemaster (G=3,150 gross weight)",156.0,288.91200000000003
B,147.0,272.244
A,135.0,250.02
Avanti P180,,
PC-12,265.0,490.78000000000003
PA-42-1000 Cheyenne 400LS,334.0,618.568
PA-42-720 Cheyenne III A,288.0,533.376
PA-42-720 Cheyenne III (prior'82=8 gal less fuel),275.0,509.3
PA-31T-620 XL Cheyenne IIXL ('82-'83 specs),270.0,500.04
A-31T-620 Cheyenne II,269.0,498.18800000000005
PA-31T IA Cheyenne IA,247.0,457.444
PA-31T-500-I Cheyenne I (prior '80 less preform),236.0,437.072
PA-31 P Press Navajo (prior'77=6 gal more fuel),220.0,407.44
PA-31P-350 Mojave,220.0,407.44
PA-31-350 Chieftain ('81=optional fuel),211.0,390.772
PA-31-325 Navajo C/R ('81=optional fuel),220.0,407.44
"PA-31-310 Turbo Navajo B,C (prior '80 less fuel)",194.0,359.288
PA-31-310 Turbo Navajo,215.0,398.18
PA-31-300 Navajo,183.0,338.916
PA-23 F Turbo Aztec (prior'77=7 gal more fuel),215.0,398.18
PA-23 E Turbo Aztec (1971 length=30/2),197.0,364.844
PA-23 F Aztec (prior '77=7 gal more fuel),178.0,329.656
"PA-23 D,E Aztec (prior '72 length=30/2)",183.0,338.916
"PA-23 C,D Turbo Aztec (C=4 gal more fuel)",205.0,379.66
PA-23 C Aztec,179.0,331.50800000000004
"PA-23, B Aztec (B=30/2 length)",178.0,329.656
"PA34-180, Seneca V",174.0,322.248
"PA34-220T, Seneca IV",191.0,353.732
PA-34-220T Seneca III (roc=t/o power),178.0,329.656
PA-34-200T C/R Turbo Seneca II,177.0,327.80400000000003
PA-34 C/R Seneca (1973-'74),162.0,300.024
PA-34-200 C/R Seneca (1972),162.0,300.024
PA-44-180T Turbo Seminole,183.0,338.916
PA-44-180 Seminole,157.0,290.764
PA-39 C/R Turbo Twin Comanche,192.0,355.584
PA-39 C/R Twin Comanche,172.0,318.54400000000004
PA-30 C Turbo Twin Comanche,209.0,387.06800000000004
PA-30 C Twin Comanche,172.0,318.54400000000004
PA-30 B Turbo Twin Comanche,194.0,359.288
"PA-30,B Twin Comanche",169.0,312.988
PA-23-235 Apache,166.0,307.432
"PA-23-160 G,-H Apache",150.0,277.8
PA-23-150 Apache,148.0,274.096
M600 (SLS),257.0,475.964
PA46-500TP Meridian,245.0,453.74
M500,225.0,416.70000000000005
PA-46-350P Malibu Mirage,201.0,372.252
M350,203.0,375.956
PA-46-310P Malibu,187.0,346.324
PA-24-400 Comanche,185.0,342.62
PA-24-C 260 Comanche,161.0,298.172
"PA-24-260,B-260 (24-260=2,900 gross weight)",158.0,292.61600000000004
PA-24-250 Comanche,157.0,290.764
PA-24-180 Comanche,139.0,257.428
PA-32R-301T Saratoga II TC,177.0,327.80400000000003
PA-32R-301 Saratoga II HP,166.0,307.432
PA-32R-301T Turbo Saratoga SP (3-bld prop),177.0,327.80400000000003
PA-32R-301 Saratoga SP (3-blade prop),158.0,292.61600000000004
PA32-301XTC,161.0,298.172
PA32-301FT 6X,148.0,274.096
PA-32RT-300T Turbo Lance II,175.0,324.1
"PA-32R,RT II-300 Lance ('76=height 8/2)",156.0,288.91200000000003
PA-32-301T Turbo Saratoga (2-blade prop),165.0,305.58000000000004
PA-32-301 Saratoga (2-blade prop),150.0,277.8
PA-32-300 '73-74 hgt=7/9 ('79 fuel=94 gal),151.0,279.652
"PA-32-300,B,C,D,E Cherokee Six (thru '72)",146.0,270.392
PA-32-260 ('74-'78) 1974 height=7/9,137.0,253.72400000000002
"PA-32-260,C,D,E & '73 (c/s prop)",137.0,253.72400000000002
PA-28-236 Dakota,143.0,264.836
PA-28-201T Turbo Dakota,154.0,285.208
PA-28-235 Pathfinder,126.0,233.352
PA-28-235 Charger,132.0,244.464
"PA-28-235 C & D, E & F",136.0,251.872
PA-28-235 B Cherokee,136.0,251.872
"PA-28R-,RT-,201T Turbo Arrow III, IV",172.0,318.54400000000004
"PA28R-201 Arrow III, 28RT-201 Arrow IV",138.0,255.57600000000002
PA-28-200R Arrow II (1973-'76),143.0,264.836
PA-28-200 R & RB Arrow,144.0,266.688
PA-28-180 R & RB Arrow,141.0,261.132
"PA-28-181 Archer II ('79-'81=15,000 service ceiling)",125.0,231.5
PA-28 180 Challenger & Archer,123.0,227.79600000000002
"PA-28 D 180,E,F,G (G=13,000 service ceiling)",124.0,229.64800000000002
"PA-28 B,C 180 Cherokee (C=15,700 svc. ceiling)",124.0,229.64800000000002
PA-28 C 160 Cherokee,119.0,220.388
PA-28 C 150 Cherokee,117.0,216.684
"PA-28 160,B 160 Cherokee",109.0,201.86800000000002
"PA-28 150,B 150 Cherokee",107.0,198.16400000000002
"PA-28-161 Warrior II ('79-'81=14,000 svc. ceil)",118.0,218.536
PA-28-151 Warrior (prior '77 stall=58),110.0,203.72
PA-28 140 Cherokee Cruiser,110.0,203.72
"PA-28 140 B,C,D,E (B=23/4 lgt + 7/4 hgt)",117.0,216.684
PA-28 140-4 Cherokee (high gross),113.0,209.276
PA-28 140 Cherokee (low gross),117.0,216.684
"PA-38 Tomahawk (prior'80 svc ceil=12,000)",108.0,200.01600000000002
PA-36-375 Brave (spray restr. category),104.0,192.608
PA-36-300 Brave (spray restr. category),103.0,190.756
PA-36-285 Brave (normal category),128.0,237.056
"PA-25-260 C,D Pawnee (normal) c/spd prop",101.0,187.05200000000002
"PA-25 235 C,D Pawnee (normal category)",99.0,183.348
PA-25 150 Pawnee,83.0,153.716
PA-22 160 Tri-Pacer,117.0,216.684
PA-22 150 Tri-Pacer,113.0,209.276
PA-22 135 Tri-Pacer,107.0,198.16400000000002
PA-22 108 Colt,94.0,174.08800000000002
PA-20 135 Pacer,109.0,201.86800000000002
PA-20 125 Pacer,103.0,190.756
PA-18 150 Super Cub,100.0,185.20000000000002
PA-18-150 Super Cub (float) (thru'76),90.0,166.68
PA-18 135 Super Cub,95.0,175.94
PA-18 125 Super Cub,97.0,179.644
PA-18 95 Super Cub,87.0,161.124
PA-16 Clipper,97.0,179.644
PA-14 Cruiser,96.0,177.792
PA-12 Super Cruiser,91.0,168.532
PA-11,87.0,161.124
J-3 Cub,65.0,120.38000000000001
Kodiak 100,135.0,250.02
RAM 421CW (W = winglets),223.0,412.99600000000004
RAM 414AW-V (V = liquid-cooled),230.0,425.96000000000004
RAM 414AV-VII,228.0,422.25600000000003
RAM 414A-VII (no winglets),225.0,416.70000000000005
RAM 414AW-IV (W = winglets),208.0,385.216
"RAM 414A-IV, III or Super Ram",200.0,370.40000000000003
"RAM 414-IV, III or Super Ram",200.0,370.40000000000003
RAM 414-VI,205.0,379.66
"RAM 414-II (39"" MP)",297.0,550.044
RAM 340/340A-VI,210.0,388.92
"RAM 340/340A-IV,III or Super Ram",207.0,383.36400000000003
"RAM 340/340A-II (39"" MP)",203.0,375.956
"RAM CT310P,Q,R /320-IV",215.0,398.18
"RAM CT310P,Q,R /320-I",205.0,379.66
RAM T310-IV (-P & -Q) / 320-IV,215.0,398.18
RAM T310-I (-P & -Q),299.0,553.748
RAM T210 (G-J),201.0,372.252
RAM T206-I (A-F),157.0,290.764
RAM 172 (1963-'76),112.0,207.424
RAM PA 28-140/151,114.0,211.12800000000001
G3,113.0,209.276
Jet Prop 421 C,241.0,446.332
Jet Prop 421 (Cessna 421 conversion),222.0,411.144
414 Rocket (Cessna 414 conversion),243.0,450.036
340 Rocket (Cessna 340 conversion),240.0,444.48
Super 340 (Cessna 340 conversion),235.0,435.22
TurboStream (Cessna 310 & 320 conv) 350hp,261.0,483.372
TurboStream (Cessna 310 & 320 conv) 310hp,252.0,466.704
Turbo Rocket (Cessna 310 conversion),263.0,487.076
Rocket (Cessna 310 conversion),219.0,405.588
305 Rocket,215.0,398.18
300 Missle,180.0,333.36
JetProp DLX,262.0,485.22400000000005
JetProp DL,250.0,463.0
TurbineAir,245.0,453.74
"200 D Meyers (Prop Jets, Inc.)",183.0,338.916
"200 B Meyers (Prop Jets, Inc.)",170.0,314.84000000000003
"200 Meyers (Prop Jets, Inc.)",170.0,314.84000000000003
100-180 Lark (S.L. Industries),115.0,212.98000000000002
100 Darter (S.L. Industries),111.0,205.572
100 (Formerly Volair) (S.L. Industries),111.0,205.572
"B1,B1A AG Commander (S.L. Industries)",91.0,168.532
Sabre 75A,436.0,807.4720000000001
Sabre 75,430.0,796.36
Sabre 65,424.0,785.248
Sabre 60,430.0,796.36
Sabre 40A,430.0,796.36
NA265 (40 Sabreliner) 8 engines,430.0,796.36
"Beech V35,A,B",137.0,253.72400000000002
Cessna 421C,241.0,446.332
Cessna 421B,235.0,435.22
"Cessna 421,-A",227.0,420.404
Cessna 414A,224.0,414.848
Cessna 414,224.0,414.848
Cessna 402C,213.0,394.476
"Cessna 402,-B; 401,-A",209.0,387.06800000000004
"Cessna 340, -A",229.0,424.108
Cessna 310 series,178.0,329.656
"Cessna 337 (turbo, pressurized)",195.0,361.14000000000004
Cessna P210,191.0,353.732
Cessna 210,165.0,305.58000000000004
Cessna 207,143.0,264.836
Cessna 206,143.0,264.836
Cessna 188,101.0,187.05200000000002
Cessna 185,145.0,268.54
Cessna 182,135.0,250.02
Cessna 180,137.0,253.72400000000002
Cessna 172,108.0,200.01600000000002
Cessna 150,104.0,192.608
Piper PA-23-250 Aztec,179.0,331.50800000000004
"Piper PA-34 Seneca I,II",162.0,300.024
"Piper PA-30,-39",172.0,318.54400000000004
"Piper PA-24-180,-250,-260",137.0,253.72400000000002
Piper PA-32,137.0,253.72400000000002
Sting Sport S3,116.0,214.83200000000002
108-3,105.0,194.46
108-1,103.0,190.756
GC-1B,122.0,225.94400000000002
SA-160,128.0,237.056
F-21B,100.0,185.20000000000002
"F-21,F-21A (-21A=40 gal fuel + empty wgt=1,000)",103.0,190.756
"F-19, Sportsman 100",100.0,185.20000000000002
P2006T,135.0,250.02
A-36 Bonanza Prop Jet,220.0,407.44
1000 Jet Prop,303.0,561.1560000000001
980 Jet Prop,303.0,561.1560000000001
900 Jet Prop,286.0,529.672
"690B,I,II Prop Jet(I empty weight=6,195)",281.0,520.412
"690A, Prop Jet (690 length=43/0 & height=14/11)",279.0,516.708
840 Jet Prop,286.0,529.672
720 Alti-Cruiser,204.0,377.808
700 (Fuji),212.0,392.624
685 pressurized,222.0,411.144
"681 Hawk, 681B Turbo Commander",236.0,437.072
680 W Turbo II Prop Jet,243.0,450.036
"680 T,V Prop Jet",248.0,459.29600000000005
680 FLP Pressurized Grand,209.0,387.06800000000004
680 FL Courser,204.0,377.808
680 FL Grand,212.0,392.624
680 F,221.0,409.29200000000003
680 E,204.0,377.808
680 Super,200.0,370.40000000000003
560 F,200.0,370.40000000000003
560 E,184.0,340.76800000000003
560 A-HC,184.0,340.76800000000003
560 A,174.0,322.248
560,171.0,316.692
500 S Shrike Commander & (Esquire thru'76),177.0,327.80400000000003
500 U,190.0,351.88
500 B,190.0,351.88
500 A,190.0,351.88
500,178.0,329.656
520,171.0,316.692
2180,116.0,214.83200000000002
2150A Kachina,104.0,192.608
